ean;variantcode;artikel;soort;adviesprijs;prijs 1 stuk;prijs p/s bij 2;korting bij 2 (%);prijs p/s bij 3;korting bij 3 (%);pakket normaal;pakket besparing;pakket inhoud;bron
4046681001406;AV975.1.1.MULTI;pH-Teststrips - 100 strips;artikel;19,95;15,96;;;;;;;;https://www.alka.nl/producten/alka-ph-test-strips-100
8718546785283;PR85.80.6.Multi;Alka® Reisbeker;artikel;8,95;7,16;;;;;;;;https://www.alka.nl/producten/alka-reisbeker
8718546785009;AV320.2.1.NL;Alka® Scrub - 250g;artikel;24,95;19,96;;;;;;;;https://www.alka.nl/producten/alka-scrub
8718546782626;AV345.2.1.NL;Alka® Shampoo - 50 ml;artikel;6,95;5,56;;;;;;;;https://www.alka.nl/producten/alka-shampoo
8718546782138;AV345.1.1.NL;Alka® Shampoo - 200 ml;artikel;16,95;13,56;;;;;;;;https://www.alka.nl/producten/alka-shampoo
8718546785320;AV240.2.6.NL;Alka® Spermidine - 60 capsules;artikel;29,95;23,96;;;;;;;;https://www.alka.nl/producten/alka-spermidine
8718546782688;AV802.NL;Alka® Starterspakket capsules (1-2);voordeelpakket;41,90;33,52;;;;;41,90;8,38;"1x Alka® BasenCaps Original - 60 capsules (€ 26.95); 1x Alka® Thee - 48 filterzakjes (€ 14.95)";https://www.alka.nl/producten/alka-starterspakket-capsules-1-2
8718546782695;AV804.NL;Alka® Starterspakket capsules (1-2-3);voordeelpakket;71,85;57,48;;;;;71,85;14,37;"1x Alka® BasenCaps Original - 60 capsules (€ 26.95); 1x Alka® Thee - 48 filterzakjes (€ 14.95); 1x Alka® Greens Caps - Multi+ - 60 capsules (€ 29.95)";https://www.alka.nl/producten/alka-starterspakket-capsules-1-2-3
8718546782664;AV801.NL;Alka® Starterspakket druppels (1-2);voordeelpakket;44,90;35,92;;;;;44,90;8,98;"1x Alka® Zuur-Base Druppels - 55ml (€ 29.95); 1x Alka® Thee - 48 filterzakjes (€ 14.95)";https://www.alka.nl/producten/alka-starterspakket-druppels-1-2
8718546782671;AV803.NL;Alka® Starterspakket druppels (1-2-3);voordeelpakket;74,85;59,88;;;;;74,85;14,97;"1x Alka® Zuur-Base Druppels - 55ml (€ 29.95); 1x Alka® Thee - 48 filterzakjes (€ 14.95); 1x Alka® Greens Caps - Multi+ - 60 capsules (€ 29.95)";https://www.alka.nl/producten/alka-starterspakket-druppels-1-2-3
8718546783029;AV250.2.2.NL;Alka® Thee - 48 filterzakjes;artikel;14,95;11,96;;;;;;;;https://www.alka.nl/producten/alka-thee
8718546783050;AV250.2.4.NL;Alka® Thee - 96 filterzakjes;artikel;24,95;19,96;;;;;;;;https://www.alka.nl/producten/alka-thee
8718546780226;AV975.250.1.NL;Alka® Theeglas;artikel;5,95;4,76;;;;;;;;https://www.alka.nl/producten/alka-theeglas
8718546784194;AV975.1.9.NL;Alka® Zuur-Base Test;artikel;2,95;2,36;;;;;;;;https://www.alka.nl/producten/alka-verzuringstest
8718546780103;AV975.300.3.NL;Alka® Vliesmaskers;artikel;10,75;8,60;;;;;;;;https://www.alka.nl/producten/alka-vliesmaskers
8718546780547;AV100.1.1.NL;Alka® Zuur-Base Druppels - 55ml;artikel;29,95;23,96;;;;;;;;https://www.alka.nl/producten/alka-zuur-base-druppels
8718546788284;AV550.1.2.NL;Alka® Zuur-base 30 dagen kuur;artikel;66,85;53,48;;;;;;;;https://www.alka.nl/producten/alka-zuur-base-kuur-30-dagen
8718375179000;AV950.1.1.NL;Boek: Jonger door Ontzuren;artikel;14,95;11,96;;;;;;;;https://www.alka.nl/producten/boek-jonger-door-ontzuren
