ean;variantcode;titel;optie;soort;woorden;gebruik;ingredienten;afbeeldingen;adviesprijs;dagprijs;op_voorraad;bron_url
8718546782138;AV345.1.1.NL;Alka® Shampoo;200 ml;artikel;484;ja;ja;16;16,95;13,56;ja;https://www.alka.nl/producten/alka-shampoo
8718546785320;AV240.2.6.NL;Alka® Spermidine;60 capsules;artikel;397;ja;ja;8;29,95;23,96;ja;https://www.alka.nl/producten/alka-spermidine
8718546782688;AV802.NL;Alka® Starterspakket capsules (1-2);Voordeelpakket;voordeelpakket;436;ja;ja;6;41,90;33,52;ja;https://www.alka.nl/producten/alka-starterspakket-capsules-1-2
8718546782695;AV804.NL;Alka® Starterspakket capsules (1-2-3);Voordeelpakket;voordeelpakket;660;ja;ja;8;71,85;57,48;ja;https://www.alka.nl/producten/alka-starterspakket-capsules-1-2-3
8718546782664;AV801.NL;Alka® Starterspakket druppels (1-2);Voordeelpakket;voordeelpakket;453;ja;ja;6;44,90;35,92;ja;https://www.alka.nl/producten/alka-starterspakket-druppels-1-2
8718546782671;AV803.NL;Alka® Starterspakket druppels (1-2-3);Voordeelpakket;voordeelpakket;644;ja;ja;8;74,85;59,88;ja;https://www.alka.nl/producten/alka-starterspakket-druppels-1-2-3
8718546783029;AV250.2.2.NL;Alka® Thee;48 filterzakjes;artikel;781;ja;ja;15;14,95;11,96;ja;https://www.alka.nl/producten/alka-thee
8718546783050;AV250.2.4.NL;Alka® Thee;96 filterzakjes;artikel;781;ja;ja;15;24,95;19,96;ja;https://www.alka.nl/producten/alka-thee
8718546780226;AV975.250.1.NL;Alka® Theeglas;320 ml;artikel;187;ja;nee;4;5,95;4,76;ja;https://www.alka.nl/producten/alka-theeglas
8718546784194;AV975.1.9.NL;Alka® Zuur-Base Test;Alka® Zuur-Base Test;artikel;403;ja;nee;3;2,95;2,36;ja;https://www.alka.nl/producten/alka-verzuringstest
8718546780103;AV975.300.3.NL;Alka® Vliesmaskers;Alka® Vliesmaskers;artikel;254;ja;ja;5;10,75;8,60;ja;https://www.alka.nl/producten/alka-vliesmaskers
8718546780547;AV100.1.1.NL;Alka® Zuur-Base Druppels;55 ml;artikel;743;ja;ja;14;29,95;23,96;ja;https://www.alka.nl/producten/alka-zuur-base-druppels
8718546788284;AV550.1.2.NL;Alka® Zuur-Base Kuur;30 dagen kuur;artikel;1173;ja;ja;7;66,85;53,48;ja;https://www.alka.nl/producten/alka-zuur-base-kuur-30-dagen
8718375179000;AV950.1.1.NL;Boek: Jonger door Ontzuren;Boek: Jonger door Ontzuren;artikel;186;nee;nee;3;14,95;11,96;ja;https://www.alka.nl/producten/boek-jonger-door-ontzuren
